Protein ID,Gene ID,CCDS ID,BioGrid ID,Molecular Function-GO Annot,Molecular Function-Keyword,Biological processes-GO Annot,Biological processes-Keywords,Cellular Component-Go Annot,Cellular Component-Keywords,Disease-OMIM ID,Disease-Keywords,Technical Terms-Keywords,Polymorphism
A0A087X0G5,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087X0H8,8848,,,DNA binding transcription factor activity,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087X0Q1,,,,RNA binding,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087X1A8,,,,thiol-dependent ubiquitin-specific protease activity,Hydrolase,protein deubiquitination,,"Nucleus;
Plasma Membrane",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087X1E4,23647,,,protein domain specific binding,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087X1T2,,,,protein dimerization activity,,,,"Mitochondrion;
Nucleus;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087X2A7,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087X2G3,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A090N8E7,,,,structural constituent of ribosome,"Ribonucleoprotein;
Ribosomal protein",translation,,Other locations,,,,,
A0A0A0MQW9,3782,,,"calmodulin binding;
small conductance calcium-activated potassium channel activity",,,,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0A0MQZ3,,,,actin binding,,"actin cytoskeleton organization;
heart development",,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0A0MR11,7581,,,"metal ion binding;
nucleic acid binding",,"regulation of transcription, DNA-templated",,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0A0MR59,23369,,,RNA binding,,,,"Cytosol;
Nucleus",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0A0MR70,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0A0MRA5,11100,,,,,"response to virus;
RNA processing",,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0A0MRE6,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0A0MRF6,,,,"DNA binding;
protein-containing complex scaffold activity",,signal transduction,,"Cytoskeleton;
Golgi apparatus;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0A0MRS1,7581,,,nucleic acid binding,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0A0MS38,4287,,,thiol-dependent ubiquitin-specific protease activity,,protein deubiquitination,,"Nucleus;
Plasma Membrane",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0A0MS57,84689,,,,,,,Other locations,,,,"Complete proteome;
Reference proteome",
A0A0A0MSI2,1912,,,zinc ion binding,,,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0A0MSK5,,,,,,,,"Nucleus;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0A0MSK6,,,,"GTPase activity;
GTP binding",,signal transduction,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0A0MSP7,,,,,,,,Cytoskeleton,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0A0MT00,,,,"DNA binding;
DNA binding transcription factor activity;
protein heterodimerization activity","Activator;
DNA-binding","transcription, DNA-templated","Transcription;
Transcription regulation",Nucleus,Nucleus,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0A0MT33,22828,,,RNA binding,RNA-binding,,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0A0MT46,,,,"DNA binding transcription factor activity;
sequence-specific DNA binding",DNA-binding,"transcription, DNA-templated",Transcription,"Nucleus;
Other locations",Nucleus,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0A0MT56,,,,RNA binding,RNA-binding,mRNA polyadenylation,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0A0MTC1,57674,,,"ATPase activity;
metal ion binding;
ubiquitin-protein transferase activity",,,,"Cytosol;
Nucleus",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0A6YYG5,286749,,,,,"endocytosis;
regulation of endocytosis;
transcription initiation from RNA polymerase II promoter",,"Nucleus;
Other locations",Membrane,,,"Complete proteome;
Reference proteome",
A0A0B4J276,,,,,Receptor,adaptive immune response,"Adaptive immunity;
Immunity",Plasma Membrane,"Cell membrane;
Membrane",,,"Complete proteome;
Reference proteome",There are several alleles. The sequence shown is that of IMGT allele TRAV25*01.
A0A0C4DFN5,,,,,,,,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0C4DFQ4,,,,zinc ion binding,,,,,,,,"Complete proteome;
Reference proteome",
A0A0C4DFR1,9911,,,,,,,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0C4DG40,23345,,,actin filament binding,Actin-binding,cytoskeletal anchoring at nuclear membrane,,"Nucleus;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0C4DG68,,,,RNA binding,,,,"Cytosol;
Nucleus",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0C4DG88,,,,"DNA binding transcription factor activity;
sequence-specific DNA binding",DNA-binding,"transcription, DNA-templated",Transcription,"Endoplasmic reticulum;
Nucleus;
Other locations",Nucleus,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0C4DG90,,,,,,,,,,,,"Complete proteome;
Reference proteome",
A0A0C4DG93,,,,,,,,,,,,"Complete proteome;
Reference proteome",
A0A0C4DGG8,,,,,,"regulation of transcription, DNA-templated",,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0C4DGH3,9253,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0C4DGI9,,,,metal ion binding,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0C4DGT9,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0C4DGU8,79791,,,cyclin binding,,"mitotic G1 DNA damage checkpoint;
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process",,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0D9SF16,,,,,,,,,,,,"Complete proteome;
Reference proteome",
A0A0G2JHL6,,,,,,cell differentiation,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0G2JII5,,,,,,cell differentiation,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0G2JM16,,,,,,cell-matrix adhesion,,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0G2JN70,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0G2JNU8,,,,chloride channel activity,"Chloride channel;
Ion channel",,"Ion transport;
Transport",Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0G2JPA4,,,,,,cell-matrix adhesion,,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0G2JPU2,,,,,,cell differentiation,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0G2JQM2,,,,,,centrosome cycle,,Cytoskeleton,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0G2JR50,,,,,,centrosome cycle,,Cytoskeleton,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0G2JS92,,,,,,"intracellular protein transport;
vesicle-mediated transport",,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0G2JSD9,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0H3W5T2,,,,"DNA binding transcription factor activity;
protein dimerization activity",,regulation of transcription by RNA polymerase II,,Nucleus,,,,,
A0A0J9YXJ0,10659,,,RNA binding,RNA-binding,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0J9YY01,,,,"actin binding;
ATP binding;
microtubule binding;
microtubule motor activity","Actin-binding;
Motor protein;
Myosin",microtubule-based movement,,"Cytoskeleton;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0K2GUT3,,,,,,,,,,,,,
A0A0M3L9V7,,,,sequence-specific DNA binding,DNA-binding,"regulation of transcription, DNA-templated",,Nucleus,Nucleus,,,,
A0A0S2Z417,4205,,,"protein dimerization activity;
RNA polymerase II regulatory region sequence-specific DNA binding",DNA-binding,"positive regulation of transcription by RNA polymerase II;
transcription, DNA-templated","Transcription;
Transcription regulation","Cytosol;
Nucleus",Nucleus,,,,
A0A0S2Z454,4205,,,"protein dimerization activity;
RNA polymerase II regulatory region sequence-specific DNA binding",DNA-binding,"positive regulation of transcription by RNA polymerase II;
transcription, DNA-templated","Transcription;
Transcription regulation","Cytosol;
Nucleus",Nucleus,,,,
A0A0S2Z4C8,4205,,,,,,,"Cytosol;
Nucleus",,,,,
A0A0S2Z4N0,4205,,,"activating transcription factor binding;
chromatin binding;
protein dimerization activity;
protein kinase binding;
RNA polymerase II proximal promoter sequence-specific DNA binding;
transcriptional activator activity, RNA polymerase II proximal promoter sequence-specific DNA binding;
transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding",DNA-binding,"cardiac conduction;
mitochondrial genome maintenance;
mitochondrion distribution;
positive regulation of glucose import;
ventricular cardiac myofibril assembly","Transcription;
Transcription regulation","Cytosol;
Nucleus",Nucleus,,,,
A0A0S2Z596,,,,,,,,,,,,,
A0A0S2Z5C2,54971,,,,,,,Nucleus,,,,,
A0A0S2Z5G4,54971,,,,,,,,,,,,
A0A0S2Z5M2,54971,,,,,,,Nucleus,,,,,
A0A0U1RQC7,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0U1RQE0,,,,"DNA binding transcription factor activity;
sequence-specific DNA binding",DNA-binding,,,Nucleus,Nucleus,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0U1RQE6,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0U1RQK4,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0U1RQM2,,,,"DNA binding transcription factor activity;
sequence-specific DNA binding",DNA-binding,"transcription, DNA-templated",Transcription,Nucleus,Nucleus,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0U1RQP7,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0U1RQR8,,,,"DNA binding transcription factor activity;
sequence-specific DNA binding",DNA-binding,"transcription, DNA-templated",Transcription,Nucleus,Nucleus,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0U1RQY3,,,,"DNA binding transcription factor activity;
sequence-specific DNA binding",DNA-binding,"transcription, DNA-templated",Transcription,Nucleus,Nucleus,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0U1RR87,,,,transcription cofactor activity,,"regulation of transcription, DNA-templated",,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0U1RRA6,22864,,,nucleic acid binding,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0U1RRL7,,,,,,,,,,,,"Complete proteome;
Direct protein sequencing;
Reference proteome",
A0A0U1RRM6,,,,,,,,"Cytosol;
Plasma Membrane;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A0U3MX95,,,,actin filament binding,,cytoskeletal anchoring at nuclear membrane,,Nucleus,,,,,
A0A0U4C5A9,,,,"DNA binding;
DNA binding transcription factor activity",,,,Nucleus,,,,,
A0A120HV04,,,,calcium ion binding,,,,,,,,,
A0A140T936,,,,"aminoacyl-tRNA editing activity;
ATP binding;
valine-tRNA ligase activity","Aminoacyl-tRNA synthetase;
Ligase",valyl-tRNA aminoacylation,Protein biosynthesis,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A140TA74,,,,nucleic acid binding,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A140VJN1,,,,,,"barbed-end actin filament uncapping;
negative regulation of barbed-end actin filament capping;
positive regulation of cell migration;
positive regulation of lamellipodium organization",,Other locations,,,,,
A0A172Q381,,,,calcium ion binding,,,,,,,,,
A0A1B0GTC4,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A1B0GTD9,,,,,,,,,,,,"Complete proteome;
Reference proteome",
A0A1B0GTI1,,,,,,,,,,,,"Complete proteome;
Reference proteome",
A0A1B0GTN9,,,,,,,,"Cytosol;
Nucleus;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A1B0GTR8,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A1B0GTU5,,,,DNA binding,,chromatin remodeling,,Nucleus,Nucleus,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A1B0GTW1,,,,,,,,"Cytosol;
Nucleus;
Plasma Membrane;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A1B0GTW2,,,,voltage-gated calcium channel activity,"Calcium channel;
Ion channel;
Voltage-gated channel",regulation of ion transmembrane transport,"Calcium transport;
Ion transport;
Transport",Plasma Membrane,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A1B0GU09,,,,DNA binding,,chromatin remodeling,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A1B0GU24,,,,nucleic acid binding,,miRNA mediated inhibition of translation,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A1B0GU44,10659,,,RNA binding,RNA-binding,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A1B0GU65,,,,DNA binding,,chromatin remodeling,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A1B0GU81,,,,voltage-gated calcium channel activity,"Calcium channel;
Ion channel;
Voltage-gated channel",regulation of ion transmembrane transport,"Calcium transport;
Ion transport;
Transport",Plasma Membrane,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A1B0GU98,,,,,,,,,,,,"Complete proteome;
Reference proteome",
A0A1B0GUM1,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A1B0GUN0,,,,,,,,"Nucleus;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A1B0GUN3,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A1B0GUS3,,,,voltage-gated calcium channel activity,"Calcium channel;
Ion channel;
Voltage-gated channel",regulation of ion transmembrane transport,"Calcium transport;
Ion transport;
Transport",Plasma Membrane,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A1B0GUZ3,9911,,,,,,,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A1B0GV03,,,,,,,,,,,,"Complete proteome;
Reference proteome",
A0A1B0GV92,,,,DNA binding,,chromatin remodeling,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A1B0GVI7,,,,"aryl hydrocarbon receptor activity;
protein dimerization activity",,"response to xenobiotic stimulus;
transcription, DNA-templated","Transcription;
Transcription regulation","Nucleus;
Other locations",Nucleus,,,"Complete proteome;
Reference proteome",
A0A1B0GVQ3,,,,,,,,,,,,"Complete proteome;
Reference proteome",
A0A1B0GVR9,,,,,,,,,,,,"Complete proteome;
Reference proteome",
A0A1B0GVZ7,,,,,,,,,,,,"Complete proteome;
Reference proteome",
A0A1B0GW10,,,,,,,,,,,,"Complete proteome;
Reference proteome",
A0A1B0GW31,,,,,,,,,,,,"Complete proteome;
Reference proteome",
A0A1B0GX09,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A1C7CYY9,,,,voltage-gated calcium channel activity,"Calcium channel;
Ion channel;
Voltage-gated channel",regulation of ion transmembrane transport,"Calcium transport;
Ion transport;
Transport",Plasma Membrane,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A1U9X799,,,,"cAMP response element binding;
DNA binding transcription factor activity",,"endoplasmic reticulum unfolded protein response;
regulation of transcription by RNA polymerase II",,"Nucleus;
Other locations",,,,,
A0A1U9X7A9,,,,,,,,,,,,,
A0A1U9X7G7,,,,,,cell differentiation,,,,,,,
A0A1U9X7H1,,,,,,cell differentiation,,,,,,,
A0A1U9X996,,,,,,,,,,,,,
A0A1U9X9A5,,,,,,,,,,,,,
A0A1W2PNE7,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A1W2PNT5,,,,,,,,,,,,"Complete proteome;
Reference proteome",
A0A1W2PNZ9,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A1W2PPK0,,,,DNA binding,DNA-binding,,,Nucleus,Nucleus,,,"Complete proteome;
Reference proteome",
A0A1W2PPM1,,,,DNA binding,DNA-binding,,,Nucleus,Nucleus,,,"Complete proteome;
Reference proteome",
A0A1W2PQ15,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A1W2PQJ7,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A1W2PQS1,,,,"ATP binding;
proteasome-activating ATPase activity",,protein catabolic process,,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A1W2PQY5,,,,,,,,Golgi apparatus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A1W2PS63,,,,,,,,,,,,"Complete proteome;
Reference proteome",
A0A286YF23,,,,,,,,Cytoskeleton,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A2P9A9S7,,,,protein histidine kinase activity,Transferase,,,,,,,,
A0A2P9AAK9,,,,,,,,,,,,,
A0A2P9ABC1,,,,,,,,Other locations,Membrane,,,,
A0A2P9ACB3,,,,transaminase activity,"Aminotransferase;
Transferase",,,,,,,,
A0A2P9ACR8,,,,,,,,,,,,,
A0A2P9ADH8,,,,,,,,,,,,,
A0A2P9ADL1,,,,,,,,,,,,,
A0A2P9AF48,,,,,,,,,,,,,
A0A2P9AFP6,,,,,,,,,,,,,
A0A2P9AJP0,,,,,,,,,,,,,
A0A2P9AJR6,,,,,,,,,,,,,
A0A2P9AMK5,,,,coproporphyrinogen oxidase activity,Oxidoreductase,,,,,,,,
A0A2P9ANC4,,,,,,,,,,,,,
A0A2P9AQT4,,,,,,,,,,,,,
A0A2P9ASM3,,,,,,,,,,,,,
A0A2P9ASM9,,,,DNA-directed DNA polymerase activity,"Nucleotidyltransferase;
Transferase",,,,,,,,
A0A2P9ATD0,,,,,,,,,,,,,
A0A2P9ATS8,,,,"ligase activity;
transferase activity","Ligase;
Transferase",,Protein biosynthesis,,Mitochondrion,,,,
A0A2P9ATU8,,,,hydrolase activity,Hydrolase,,,,,,,,
A0A2P9AVQ3,,,,oxidoreductase activity,Oxidoreductase,,,,,,,,
A0A2P9AWH6,,,,,,,,,,,,,
A0A2P9AXX3,,,,,,,,,,,,,
A0A2P9AXZ7,,,,,,,,,,,,,
A0A2Q2TH77,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0AUX1,,,,"metal ion binding;
nucleic acid binding",,"regulation of transcription, DNA-templated",,Other locations,,,,,
A0AUY7,,,,deoxyribonuclease II activity,,,,,,,,,
A0PJB6,,,,,,,,,,,,,
A1A5A9,23387,,,"ATP binding;
protein kinase activity",,,,,,,,,
A1A5D9,146439,CCDS45393.1,126987,Rab GTPase binding,,,,,,,,"Complete proteome;
Reference proteome",
A1L0S7,7145,,,,,,,,,,,,
A1L0S8,,,,,,centrosome cycle,,Cytoskeleton,,,,,
A2A305,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A2BDE7,,,,,,,,,,,,,
